file_name,Hypoxic_Mean_DO1,Hypoxic_Mean_DO,Event_Count,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_natural_2km,p_urban_2km,p_other_2km,p_crop_2km,p_wetland_2km,human_share,human_impacted,landuse_group
10129900,2.470241965,0.529758035,923,40.73522634,-111.4760313,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1043110325021_,0.566081871,2.433918129,171,43.7631,142.275,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1043110332180_,0.114634146,2.885365854,41,42.8325,141.6597,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1043110332210_,0.197080292,2.802919708,959,43.0378,141.355,3,Urban,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
11044000,1.758189655,1.241810345,58,33.4739175,-117.1422536,1,Natural vegetation,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
1104430,2.433333333,0.566666667,3,42.3981512,-71.2733903,3,Urban,5,Other,0,0,1,0,0,0,FALSE,Mixed
11092450,2.226412429,0.773587571,118,34.16167247,-118.466749,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
11126400,1.832797619,1.167202381,280,34.5901111,-120.025361,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
11128500,2.390271483,0.609728517,2118,34.58498706,-120.1445926,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
11152880,2.570652174,0.429347826,23,37.04368056,-121.2759028,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
11152900,2.861875,0.138125,40,37.0499451,-121.327431,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
11153000,2.906818182,0.093181818,11,36.98,-121.3802778,2,Cropland,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
11273400,2.418373843,0.581626157,288,37.3472151,-120.9761777,2,Cropland,2,Cropland,0,0.25,0,0.75,0,1,TRUE,Ag-dominated
11509370,1.712011087,1.287988913,3247,42.12788298,-121.9288769,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
