Australia,Europe,the United States,Japan,China
50,66.66666667,100,22.22222222,66.66666667
0,50,86.66666667,72.72727273,0
22.22222222,50,13.84892086,30.86419753,45.94594595
23.15789474,100,37.70491803,80,59.09090909
100,75,50,51.72413793,68.42105263
3.921568627,47.36842105,85.18518519,56.6539924,68.75
15.38461538,87.5,100,38.88888889,100
0,47.05882353,25.53191489,69.6969697,0
23.11015119,70.37037037,12.56038647,47.22222222,50
4.273504274,89.47368421,20,100,43.33333333
100,100,42.16216216,26.89804772,34.375
33.13953488,65.51724138,12.5,38.57142857,0
0.636942675,50,100,85.71428571,73.68421053
7.142857143,96.875,100,85.71428571,100
0,27.65957447,71.42857143,52.17391304,80
0,63.63636364,75,88.23529412,11.36363636
50,53.33333333,100,85.71428571,20
26.82926829,33.33333333,71.42857143,94.11764706,0
50,100,75,96.77419355,0
2.325581395,50,86.36363636,84.7826087,100
100,60,100,81.39534884,100
15.53398058,56.25,74.12140575,33.33333333,33.33333333
100,100,74.46808511,43.18181818,66.66666667
33.33333333,100,100,78.78787879,40
15.38461538,75,0,75,81.81818182
16.66666667,100,100,61.11111111,33.33333333
43.75,100,73.91304348,0,100
11.2244898,100,100,30.64516129,100
8.333333333,40.4494382,100,80,60
2.208835341,41.86046512,55.55555556,52.5862069,70
0,100,71.63667524,68.18181818,54.54545455
0,81.25,16.07142857,90.90909091,66.27906977
75,46.7592593,80.85470085,85.71428571,86.75496689
35.55555556,34.439834,59.48717949,100,100
15.02683363,25.92592593,23.26530612,90,56
0,21.27659574,45.68657478,50,50
27.27272727,19.04761905,25.64655172,80.48780488,100
1.19047619,17.64705882,100,50,100
4.411764706,6.976744186,100,77.27272727,40
7.547169811,40,66.66666667,50,100
6.944444444,16.12903226,85.71428571,50,10.44776119
20,74.69879518,55.17241379,86.16600791,96
0,50,100,50,88.37209302
2.803738318,16.66666667,100,8.333333333,86.66666667
8.064516129,16.63685152,90.32258065,21.31147541,41.95804196
4.494382022,5.555555556,34.69387755,28.57142857,37.5
3.571428571,0.207039337,0,95.65217391,55.55555556
3.496503497,0.373134328,94.11764706,70.83333333,76.47058824
2.608695652,4.918032787,95.65217391,58.06451613,100
0,0,100,46.66666667,75
5.479452055,0.308641975,83.33333333,66.66666667,0
5.208333333,12.40601504,50,100,72.72727273
47.36842105,2.611940299,50,68.42105263,57.14285714
9.677419355,13.04347826,100,80.51948052,78
28.92561983,6.25,72.72727273,12.23021583,33.33333333
13.125,0.857142857,100,54.92957746,60
23.07692308,7.246376812,100,100,59.375
6.818181818,12.96296296,99.89350373,64.58333333,100
9.259259259,14.01515152,34.15398389,59.80066445,73.07692308
9.259259259,13.7829912,70.37037037,24.44444444,31.66666667
6.832298137,14.73214286,44.71865745,8.899297424,49.48453608
4.278074866,37.5,10.20459082,20,42.22222222
7.407407407,0,16.80830973,90,34.7826087
6.748466258,3.296703297,13.04347826,61.89078097,25.71428571
0,1.807228916,7.046070461,34.54545455,56.60377358
10,2.105263158,100,34.14634146,29.50819672
7.692307692,2.564102564,100,56.31067961,100
5.555555556,23.95833333,8.534176215,66.66666667,0
8.333333333,85.71428571,63.04347826,43.58974359,33.33333333
56.09756098,85.71428571,22.22222222,47.09677419,71.60493827
60.32608696,,100,58.2278481,32.9787234
7.96460177,,1.549680948,45.45454545,58.33333333
100,,93.33333333,30.76923077,76.92307692
3.474903475,,86.95652174,88.23529412,76
0.900900901,,100,100,38.33333333
0,,54.54545455,81.25,41.66666667
78.78787879,,100,0,44.73684211
40,,64.93506494,100,62.5
0,,100,58.53658537,71.42857143
7.843137255,,89.47368421,100,16.66666667
2.631578947,,100,93.5483871,35.8490566
53.06122449,,50,100,82.89473684
0,,39.62264151,50,82.22222222
2.380952381,,41.66666667,54.54545455,100
50,,12.5,28,90
0,,100,62.5,52
21.42857143,,4.166666667,100,100
9.090909091,,72,90.90909091,80.35714286
3.448275862,,100,93.93939394,76.19047619
13.63636364,,48.14814815,100,93.75
20,,100,100,77.77777778
25.92592593,,50,100,62.74509804
36.11111111,,77.5,0,88.0952381
0,,40.25974026,75,63.63636364
0,,94.44444444,0,100
21.54182613,,43,85.71428571,86.66666667
0,,80,83.33333333,60
0,,100,100,85.71428571
8.163265306,,25,34.61538462,90.90909091
95,,33.33333333,81.91489362,100
40.81632653,,78.68852459,91.11111111,31.72413793
4.166666667,,100,82.75862069,78.125
50,,75,62.5,39.47368421
0,,63.06306306,71.42857143,78.57142857
74.62686567,,96.66666667,50,60.6741573
0,,71.02473498,11.11111111,76.92307692
30,,31.35435993,100,38.70967742
0,,81.81818182,79.59183673,72.22222222
0,,76,94.87179487,100
0,,57.31707317,66.66666667,100
23.80952381,,82.05128205,70.73170732,51.32275132
50,,74.62686567,91.66666667,50
6.08974359,,0,34.61538462,75
0.846560847,,95.91836735,85,80
14.59459459,,100,70,75
3.879310345,,94.44444444,89.15662651,49.19354839
19.56521739,,83.33333333,100,71.69811321
,,55.98455598,80.76923077,40
,,85.17110266,72.5,72.88135593
,,35.71428571,59.2920354,58.41584158
,,69.62025316,67.74193548,50
,,54.83870968,62.5,85.71428571
,,50,76.47058824,56.47058824
,,57.57575758,40.50632911,30.93922652
,,50,57.8125,58.33333333
,,69.03225806,36.66666667,81.48148148
,,100,100,34.92063492
,,72.72727273,75,51.96078431
,,100,6.12244898,42.59259259
,,100,71.73913043,57.14285714
,,0,,45.98425197
,,100,,66.66666667
,,86.48648649,,100
,,80,,100
,,100,,0
,,100,,0
,,100,,50
,,57.14285714,,100
,,100,,50
,,100,,33.33333333
,,88.88888889,,75
,,85.76576577,,75
,,100,,33.33333333
,,100,,48.31460674
,,83.33333333,,100
,,75,,58.41584158
,,93.93939394,,58.53658537
,,96.15384615,,55.08474576
,,57.40740741,,80
,,100,,91.17647059
,,47.09897611,,74.19354839
,,100,,49.15254237
,,68.18181818,,42.25352113
,,100,,52.30769231
,,100,,100
,,100,,27.27272727
,,5,,100
,,100,,24.44444444
,,83.56164384,,54.12844037
,,4,,42.45283019
,,7.629427793,,53.84615385
,,100,,38
,,100,,44.59459459
,,100,,27.41935484
,,97.43589744,,85.71428571
,,100,,42.69662921
,,83.33333333,,50
,,58.33333333,,100
,,50,,100
,,50,,13
,,90.90909091,,33.33333333
,,83.33333333,,28.84615385
,,62.5,,57.86163522
,,90,,58.62068966
,,48.8372093,,70.3125
,,100,,53.44827586
,,27.15517241,,50.70422535
,,98.11320755,,57.89473684
,,85.71428571,,60.86956522
,,100,,50
,,62.5,,44.85981308
,,0,,100
,,83.67346939,,42.04545455
,,100,,86.66666667
,,61.11111111,,33.33333333
,,30.76923077,,100
,,100,,75
,,100,,100
,,100,,100
,,73.91304348,,67.5
,,100,,100
,,85.71428571,,40
,,90.90909091,,66.66666667
,,84.61538462,,66.66666667
,,71.42857143,,55.55555556
,,75,,0
,,83.33333333,,38.46153846
,,100,,52.68817204
,,50,,23.93162393
,,29.16666667,,61.70212766
,,80,,71.42857143
,,42.85714286,,100
,,100,,100
,,67.14285714,,57.14285714
,,100,,79.74683544
,,14.28571429,,44.18604651
,,25,,64.81481481
,,69.35483871,,70.37037037
,,96,,100
,,100,,23.25581395
,,78.48101266,,27.27272727
,,100,,43.85964912
,,66.66666667,,39.18918919
,,66.66666667,,100
,,100,,70
,,100,,37.73584906
,,100,,100
,,84,,55.55555556
,,89.26829268,,100
,,81.81818182,,48.64864865
,,77.48691099,,27.77777778
,,86.79245283,,100
,,80.44692737,,69.89247312
,,80.65268065,,41.50943396
,,26.76056338,,40.6779661
,,63.19444444,,37.93103448
,,41.17647059,,100
,,33.33333333,,42.85714286
,,39.65517241,,54.54545455
,,76.27118644,,50
,,86.53846154,,57.14285714
,,36.84210526,,33.33333333
,,87.67605634,,100
,,71.42857143,,34.51327434
,,68.38905775,,75
,,65.51724138,,100
,,40,,32.14285714
,,52,,52.94117647
,,43.75,,100
,,76.92307692,,73.68421053
,,100,,33.33333333
,,84.80392157,,21.46118721
,,83.33333333,,25.85034014
,,50,,33.33333333
,,55.17241379,,23.35766423
,,100,,50
,,0,,53.33333333
,,50,,42.7184466
,,59.63302752,,40
,,74.62686567,,100
,,66,,100
,,62.71186441,,100
,,71.15384615,,28.57142857
,,90.59405941,,100
,,94.98127341,,100
,,96.71837709,,0
,,72.22222222,,75
,,90,,61.53846154
,,100,,100
,,0,,80
,,100,,100
,,100,,100
,,100,,100
,,50,,90
,,100,,54.54545455
,,90.90909091,,0
,,100,,62.5
,,53.84615385,,0
,,97.98657718,,27.38095238
,,100,,9.090909091
,,100,,0
,,100,,50.72463768
,,38.0952381,,0
,,44.22442244,,99.6763754
,,100,,100
,,100,,100
,,100,,100
,,25.93582888,,37.5
,,43.75,,100
,,87.5,,40
,,80.31496063,,100
,,100,,98.22222222
,,78.57142857,,37.87878788
